Roll = 0.986651, Pitch = 0.223269, Yaw = 172.192203
Roll = 0.986651, Pitch = 0.223269, Yaw = 172.192203
Roll = 0.981829, Pitch = 0.220326, Yaw = 172.194827
Roll = 0.981829, Pitch = 0.220326, Yaw = 172.194827
Roll = 0.985756, Pitch = 0.224365, Yaw = 172.191424
Roll = 0.985756, Pitch = 0.224365, Yaw = 172.191424
Roll = 0.989422, Pitch = 0.222390, Yaw = 172.188525
Roll = 0.989422, Pitch = 0.222390, Yaw = 172.188525
Roll = 0.990062, Pitch = 0.219319, Yaw = 172.188098
Roll = 0.990062, Pitch = 0.219319, Yaw = 172.188098
Roll = 0.989364, Pitch = 0.217712, Yaw = 172.188479
Roll = 0.989364, Pitch = 0.217712, Yaw = 172.188479
Roll = 0.988718, Pitch = 0.213615, Yaw = 172.189319
Roll = 0.988718, Pitch = 0.213615, Yaw = 172.189319
Roll = 0.988850, Pitch = 0.209863, Yaw = 172.188998
Roll = 0.988850, Pitch = 0.209863, Yaw = 172.188998
Roll = 0.989113, Pitch = 0.204378, Yaw = 172.188754
Roll = 0.989113, Pitch = 0.204378, Yaw = 172.188754
Roll = 0.984995, Pitch = 0.207985, Yaw = 172.191501
Roll = 0.984995, Pitch = 0.207985, Yaw = 172.191501
Roll = 0.980715, Pitch = 0.204395, Yaw = 172.194339
Roll = 0.980715, Pitch = 0.204395, Yaw = 172.194339
Roll = 0.977214, Pitch = 0.200413, Yaw = 172.196399
Roll = 0.977214, Pitch = 0.200413, Yaw = 172.196399
Roll = 0.976154, Pitch = 0.197123, Yaw = 172.197375
Roll = 0.976154, Pitch = 0.197123, Yaw = 172.197375
Roll = 0.978562, Pitch = 0.192367, Yaw = 172.196597
Roll = 0.978562, Pitch = 0.192367, Yaw = 172.196597
Roll = 0.977961, Pitch = 0.187149, Yaw = 172.198169
Roll = 0.977961, Pitch = 0.187149, Yaw = 172.198169
Roll = 0.977449, Pitch = 0.187687, Yaw = 172.198215
Roll = 0.977449, Pitch = 0.187687, Yaw = 172.198215
